Course ID,Title,Short title
MATH F113,Probability & Statistics,P&S
MATH F114,Math for Business,
MATH F211,Mathematics III,Math III
MATH F212,Optimization,
MATH F266,Study Project,Study Proj
MATH F313,Numerical Analysis,NA
MATH F366,Laboratory Project,Lab Proj
MATH F367,Laboratory Project,Lab Proj
MATH F376,Design Project,Design Proj
MATH F377,Design Project,Design Proj
MATH F432,Applied Statistical Methods,ASM
MATH F491,Special Project,Spl Proj
MBA G537,Security Analysis and Portfolio Mgmt,SAPM
MBA G546,Business Statistics,Business Stats
MBA G548,Strategic Marketing,
MBA G549,Introduction to Systems and Sustainability,Intro to Sys & Sus
MBA G557,Eco Env of Business,
MBA G558,Operations and Supply Chain Mgt,OSCM
MBA G559,Corporate Finance,CF
ME F112,Workshop Practice,Workshop
ME F211,Mechanics of Solids,Mech of Solids
ME F212,Fluid Mechanics,Fluid Mech
ME F216,Materials Science & Engineering,Materials Sci & Engg
ME F217,Applied Thermodynamics,Appl Thermo
ME F218,Advanced Mechanics of Solids,Adv Mech of Solids
ME F219,Manufacturing Processes,Manuf Proc
ME F220,Heat Transfer,HT
ME F221,Mechanisms and Machines,
ME F266,Study Project,Study Proj
ME F314,Design of Machine Elements,Design of Machine Elem
ME F315,Advanced Manufacturing Processes,Adv Manuf Proc
ME F316,Manufacturing Management,Manuf Mgmt
ME F317,"Engines, Motors and Mobility",EMM
ME F318,Computer Aided Design,CAD
ME F319,Vibrations and Control,VC
ME F320,Engineering Optimization,Engg Optimization
ME F341,Primemovers & Fluid Mach,
ME F366,Laboratory Project,Lab Proj
ME F367,Laboratory Project,Lab Proj
ME F376,Design Project,Design Proj
ME F377,Design Project,Design Proj
ME F426,Industry 4.0,
ME F443,Quali Contro Assur & Rel,
ME F452,Composite Material & Des,CMD
ME F461,Refrigeration & Aircond,
ME F491,Special Project,Spl Proj
ME G512,Finite Element Method,FFE
ME G532,Machine Tool Engineering,Machine Tool Engg
MF F219,Operations Management,OM
MF F418,Lean Manufacturing,LM
MGTS F211,Principles of Management,PoM
MGTS F311,Marketing,
MPBA G505,Statistics & Basic Econometrics,SBE
MPBA G507,Programming for Analytics,Progg for Anal
MPBA G508,Strategic Management,
MPBA G511,"Data Visual, Ethic & Data Priv",DVEDP
MPBA G512,Time Series Analysis and Forecas,Time Series
MPBA G513,Predictive Analytics,
MPBA G514,Deep Learning for Business,DL for Business
MPBA G515,Prescript Analy with Math Prog,PSMP
MPBA G516,Adv Spread & Mac Prog for Busi,ASMP
MPBA G519,Natural Lang Proces for Busi,NLP for Business
MPBA G529,Marketing Research & Metrics,
MPBA G531,Financial Derivatives and Analy,FDA
MPBA G534,People Analytics,
PHY F110,Physics Laboratory,Phy Lab
PHY F111,Mech Oscillations & Wave,MOW
PHY F215,Intro to Astro & Astroph,Astro
PHY F266,Study Project,Study Proj
PHY F366,Laboratory Project,Lab Proj
PHY F367,Laboratory Project,Lab Proj
PHY F376,Design Project,Design Proj
PHY F377,Design Project,Design Proj
PHY F491,Special Project,Spl Proj
SS G515,Data Warehousing,DW
