COM COD,Course ID,Course Title,Credit LPU,Section,Instructor/IC,Room,Days/Hours,MIDSEM TEST,COMRE DATE & SESSION
1187,CHE F314,PROCESS DES PRINCIPLES I,3 0 3,1,NISHANT H PANDYA,277,W23 Th56,30.10.2025 AN,29.12.2025 AN
1668,CHE F366,LABORATORY PROJECT,3,1,MURCHANA CHANGMAI,,,,
1738,CHE F367,LABORATORY PROJECT,3,1,MURCHANA CHANGMAI,,,,
1687,CHE F376,DESIGN PROJECT,3,1,MURCHANA CHANGMAI,,,,
1754,CHE F377,DESIGN PROJECT,3,1,MURCHANA CHANGMAI,,,,
1202,CHE F433,CORROSION ENGINEERING,3 0 3,1,MURCHANA CHANGMAI,277,M8 F12,30.10.2025 FN,30.12.2025 AN
1209,CHE F491,SPECIAL PROJECT,3,1,MURCHANA CHANGMAI,,,,
2864,CHEM F101,FUNDAMENTALS OF CHEMISTRY,2 1 3,,RUSAL RAJ,,,31.10.2025 FN,30.12.2025 FN
,,,,1,Vijaya Ilango,101,T7 W12,,
,,,,2,Subrata Chakraborthy,105,T9 F12,,
,,,,3,Rusal Raj,165,T7 F12,,
,,,,4,Hiranmay Maity,184,T12 F2,,
,,,,5,Geetha Kannan,186,T7 W12,,
,,,,6,Sabyasachi Roy,189,M12 T7,,
,,,,7,Vijaya Ilango,190,M34 W7,,
,,Practical,,1,Rusal Raj,208,M34,,
,,,,2,Sabyasachi Roy,208,M89,,
,,,,3,Subrata Chakraborthy,208,T34,,
,,,,4,Hiranmay Maity,208,T89,,
,,,,5,Hiranmay Maity,208,W34,,
,,,,6,Subrata Chakraborthy,208,W89,,
,,,,7,Rusal Raj,208,Th34,,
,,,,8,Rusal Raj,208,Th89,,
,,,,9,Sabyasachi Roy,208,F34,,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,,RUSAL RAJ,,,,
,,,,1,Rusal Raj,208,M34,,
,,,,2,Sabyasachi Roy,208,M89,,
,,,,3,Subrata Chakraborthy,208,T34,,
,,,,4,Hiranmay Maity,208,T89,,
,,,,5,Hiranmay Maity,208,W34,,
,,,,6,Subrata Chakraborthy,208,W89,,
,,,,7,Rusal Raj,208,Th34,,
,,,,8,Rusal Raj,208,Th89,,
,,,,9,Sabyasachi Roy,208,F34,,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,,RUSAL RAJ,,,31.10.2025 FN,30.12.2025 FN
,,,,1,Vijaya Ilango,101,T7 W12,,
,,,,2,Subrata Chakraborthy,105,T9 F12,,
,,,,3,Rusal Raj,165,T7 F12,,
,,,,4,Hiranmay Maity,184,T12 F2,,
,,,,5,Geetha Kannan,186,T7 W12,,
,,,,6,Sabyasachi Roy,189,M12 T7,,
,,,,7,Vijaya Ilango,190,M34 W7,,
1654,CHEM F266,STUDY PROJECT,3,1,K K SINGH,,,,
1669,CHEM F366,LABORATORY PROJECT,3,1,K K SINGH,,,,
1739,CHEM F367,LABORATORY PROJECT,3,1,K K SINGH,,,,
1688,CHEM F376,DESIGN PROJECT,3,1,K K SINGH,,,,
1755,CHEM F377,DESIGN PROJECT,3,1,K K SINGH,,,,
1713,CHEM F491,SPECIAL PROJECT,3,1,K K SINGH,,,,
1008,CS F111,COMPUTER PROGRAMMING,3 1 4,,TOJO MATHEW,,,29.10.2025 FN,29.12.2025 FN
,,,,1,Tojo Mathew,101,T34 Th34,,
,,,,2,Suyansh Shukla,105,M34 W78,,
,,,,3,Shivang Agarwal,165,M78 W12,,
,,,,4,Keshav Kaushik,184,M34 W78,,
,,,,5,Shalaka S Mahadik,186,M12 Th12,,
,,,,6,Shalaka S Mahadik,189,M78 F12,,
,,,,7,Neena Susan Shaji,190,M78 W45,,
,,,,8,TBA,183,T89 W56,,
,,Practical,,1,Shivang Agarwal,333,M34,,
,,,,2,Keshav Kaushik,333,T34,,
,,,,3,Neena Susan Shaji,333,T89,,
,,,,4,Tojo Mathew,333,W56,,
,,,,5,Shivang Agarwal,333,Th34,,
,,,,6,Shalaka S Mahadik,333,Th56,,
,,,,7,Shalaka S Mahadik,333,Th89,,
,,,,8,TBA,335,F12,,
1092,CS F213,OBJECT ORIENTED PROG,3 1 4,,PRANAV M PAWAR,,,28.10.2025 AN,23.12.2025 AN
,,,,1,Sujala D Shetty,257,T23 Th12,,
,,,,2,Pranav M Pawar,267,T23 Th12,,
,,,,3,Kajal Kansal,268,T12 Th12,,
,,,,4,Amanjot Kaur,269,T23 Th12,,
,,,,5,Sapna Sadhwani,270,T23 Th12,,
,,,,6,Neena Susan Shaji,271,T56 F34,,
,,,,7,Sapna Sadhwani,276,M56 Th89,,
,,Practical,,1,Sujala D Shetty,335,M56,,
,,,,2,Pranav M Pawar,335,T89,,
,,,,3,Kajal Kansal,335,W56,,
,,,,4,Amanjot Kaur,335,W89,,
,,,,5,Hussain Chowdhury,335,Th89,,
,,,,6,Ashish Gupta,335,F34,,
,,,,7,Neena Susan Shaji,335,Th12,,
1090,CS F214,LOGIC IN COMPUTER SC,3 0 3,,ASHISH GUPTA,,,29.10.2025 AN,30.12.2025 AN
,,,,1,Satyanath Badri,257,M34 W12,,
,,,,2,Kajal Kansal,267,M34 W2 Th8,,
,,,,3,Sapna Sadhwani,268,W12 F34,,
,,,,4,Mithun Mukherjee,269,W12 F34,,
,,,,5,Neena Susan Shaji,270,M34 W12,,
,,,,6,Ashish Gupta,271,W12 Th34,,
1093,CS F215,DIGITAL DESIGN,3 1 4,,VILAS H GAIDHANE,,,27.10.2025 AN,22.12.2025 AN
,,,,1,R Swarnalatha,257,T89 W34,,
,,,,2,Sunil Thomas,267,M12 W34,,
,,,,3,Vilas H Gaidhane,268,M12 W34,,
,,,,4,Shazia Hasan,269,M12 W56,,
,,,,5,Adarsh Venkataraman,270,W34 Th34,,
,,,,6,TBA,271,M12 W34,,
,,,,7,Adarsh Venkataraman,276,M12 T56,,
,,Practical,,1,Miziya,303,M34,,
,,,,2,Abhilasha,304,M34,,
,,,,3,Ansa Shermin,303,M56,,
,,,,4,Aparna K G,304,M56,,
,,,,5,Miziya,303,T89,,
,,,,6,Aparna K G,304,T89,,
,,,,7,Aparna K G,303,W34,,
,,,,8,V Kalaichelvi,304,W34,,
,,,,9,Ananth Bharadwaj M,303,Th34,,
,,,,10,R Swarnalatha,304,Th34,,
,,,,11,Abhilasha,303,Th89,,
,,,,12,Miziya,304,Th89,,
,,,,13,Ansa Shermin,303,F12,,
,,,,14,Adarsh Venkataraman,304,F12,,
,,,,15,Sunil Thomas,303,F34,,
,,,,16,Vilas H Gaidhane,304,F34,,
1091,CS F222,DISCR STRUC FOR COMP SCI,3 0 3,,S BASKARAN,,,30.10.2025 AN,29.12.2025 AN
,,,,1,A Somasundaram,257,T4 W56 Th8,,
,,,,2,Shanookha Ali,267,Th34 F34,,
,,,,3,S Baskaran,268,T34 Th34,,
,,,,4,M Nurul Molla,269,T56 Th34,,
,,,,5,Shanookha Ali,270,M56 W56,,
,,,,6,M Nurul Molla,271,T12 W56,,
,,,,7,Vrinda Mary Mathew,277,T34 F12,,
1655,CS F266,STUDY PROJECT,3,1,SUJALA D SHETTY,,,,
1316,CS F301,PRINCIPLES OF PROGG LANG,2 0 2,,B VIJAYAKUMAR,,,28.10.2025 AN,23.12.2025 AN
,,,,1,Amanjot Kaur,222,W3 Th4,,
,,,,2,B Vijayakumar,223,W3 Th4,,
,,,,3,Amanjot Kaur,226,M89,,
,,,,4,B Vijayakumar,229,M89,,
2438,CS F316,QUANTUM ARCHITECTURE AND PROGRAMMING,3,1,TAMIZHARASAN PERIYASAMY,222,W89 F4,31.10.2025 FN,31.12.2025 AN
2266,CS F320,FOUNDATION OF DATA SCIENCE,3 0 3,1,ASHISH GUPTA,226,M23 T5,30.10.2025 FN,30.12.2025 AN
1317,CS F342,COMPUTER ARCHITECTURE,3 1 4,,TAMIZHARASAN PERIYASAMY,,,29.10.2025 AN,24.12.2025 AN
,,,,1,Tamizharasan Periyasamy,222,T34 W6 F1,,
,,,,2,Mithun Mukherjee,223,T34 W6 F1,,
,,,,3,Satyanath Badri,226,T34 W6 F1,,
,,,,4,M Raja,229,T34 W6 F1,,
,,Practical,,1,Tamizharasan Periyasamy,333,M56,,
,,,,2,Mithun Mukherjee,333,M89,,
,,,,3,Satyanath Badri,333,Th12,,
,,,,4,B Vijayakumar,333,F23,,
1314,CS F351,THEORY OF COMPUTATION,3 0 3,,ELAKKIYA RAJASEKAR,,,27.10.2025 AN,22.12.2025 AN
,,,,1,Suyansh Shukla,222,T12 Th12,,
,,,,2,Elakkiya Rajasekar,223,M56 T12,,
,,,,3,Hussain Chowdhury,226,T12 F23,,
,,,,4,Suyansh Shukla,229,M56 W3 Th4,,
1670,CS F366,LABORATORY PROJECT,3,1,SUJALA D SHETTY,,,,
1740,CS F367,LABORATORY PROJECT,3,1,SUJALA D SHETTY,,,,
1315,CS F372,OPERATING SYSTEMS,3 0 3,,ANGEL A JOTHI,,,30.10.2025 AN,29.12.2025 AN
,,,,1,Hussain Chowdhury,222,M89 W12,,
,,,,2,Keshav Kaushik,223,W12 Th23,,
,,,,3,Tojo Mathew,226,M56 W12,,
,,,,4,Angel A Jothi,229,W12 Th23,,
1689,CS F376,DESIGN PROJECT,3,1,SUJALA D SHETTY,,,,
1756,CS F377,DESIGN PROJECT,3,1,SUJALA D SHETTY,,,,
1322,CS F415,DATA MINING,3 0 3,1,ANGEL A JOTHI,229,M23 T5,30.10.2025 FN,30.12.2025 AN
2629,CS F437,GENERATIVE AI,3 0 3,1,SHIVANG AGARWAL,223,W89 F4,31.10.2025 FN,31.12.2025 AN
1714,CS F491,SPECIAL PROJECT,3,1,SUJALA D SHETTY,,,,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,1,R GOMATHI BHAVANI,206,W89 Th89,28.10.2025 AN,23.12.2025 AN
,,Practical,,1,R Gomathi Bhavani,313,T34,,
1381,ECE F212,ELECTROMAGNETIC THEO,3 0 3,1,ANANTH BHARADWAJ M,206,M56 F34,30.10.2025 AN,29.12.2025 AN
1383,ECE F214,ELECTRONIC DEVICES,3 0 3,1,NILESH GOEL,206,M34 W56,29.10.2025 AN,30.12.2025 AN
1382,ECE F215,DIGITAL DESIGN,3 1 4,,VILAS H GAIDHANE,,,27.10.2025 AN,22.12.2025 AN
,,,,1,R Swarnalatha,257,T89 W34,,
,,,,2,Sunil Thomas,267,M12 W34,,
,,,,3,Vilas H Gaidhane,268,M12 W34,,
,,,,4,Shazia Hasan,269,M12 W56,,
,,,,5,Adarsh Venkataraman,270,W34 Th34,,
,,,,6,TBA,271,M12 W34,,
,,,,7,Adarsh Venkataraman,276,M12 T56,,
,,Practical,,1,Miziya,303,M34,,
,,,,2,Abhilasha,304,M34,,
,,,,3,Ansa Shermin,303,M56,,
,,,,4,Aparna K G,304,M56,,
,,,,5,Miziya,303,T89,,
,,,,6,Aparna K G,304,T89,,
,,,,7,Aparna K G,303,W34,,
,,,,8,V Kalaichelvi,304,W34,,
,,,,9,Ananth Bharadwaj M,303,Th34,,
,,,,10,R Swarnalatha,304,Th34,,
,,,,11,Abhilasha,303,Th89,,
,,,,12,Miziya,304,Th89,,
,,,,13,Ansa Shermin,303,F12,,
,,,,14,Adarsh Venkataraman,304,F12,,
,,,,15,Sunil Thomas,303,F34,,
,,,,16,Vilas H Gaidhane,304,F34,,
1701,ECE F266,STUDY PROJECT,3,1,ABDUL RAZAK,,,,
1389,ECE F311,COMMUNICATION SYSTEMS,3 1 4,1,JAGADISH NAYAK,255,W23 F12,27.10.2025 AN,22.12.2025 AN
,,Practical,,1,Trisha Ghosh,330,M789,,
1388,ECE F314,EM FIELDS & MICRO ENGG,3 0 3,1,ABDUL RAZAK,,,,
