COM COD,COURSE NO.,COURSE TITLE,"CREDIT
L P U",SEC,INSTRUCTOR-IN-CHARGE/ Instructor,ROOM,DAYS/ HOURS,MIDSEM TEST,COMRE DATE & SESSION
,,Practical,,1,Deepthi Mary Dilip,MF5,W89,,
1652,CE F266,STUDY PROJECT,3,1,VIVEK B,,,,
2282,CE F321,ENGINEERING HYDROLOGY,3 0 3,1,BRIJ KISHORE PANDEY,256,M1 T2 W5 F2,29.03.2024 FN,29.05.2024 AN
1199,CE F342,WATER & WASTEWATER TREAT,3 1 4,1,BRIJ KISHORE PANDEY,256,M5 W1 Th9 F4,01.04.2024 AN,31.05.2024 FN
,,Practical,,1,Brij Kishore Pandey,306,Th34,,
1200,CE F343,DESIGN OF STEEL STRUCTURES,3 0 3,1,AKSHAY VENKATESHWARAN,256,M2 T3 Th6 F3,03.04.2024 AN,05.06.2024 AN
1667,CE F366,LABORATORY PROJECT,3,1,VIVEK B,,,,
1686,CE F376,DESIGN PROJECT,3,1,VIVEK B,,,,
1223,CE F415,DESIGN OF PRESTRESSED CONCRETE STRUCTURES,3 0 3,1,AKSHAY VENKATESHWARAN,256,M6 T6 Th1,01.04.2024 FN,30.05.2024 FN
1236,CE F423,GREEN BUILD & ENER CONSE,3 0 3,1,MEGHANA S CHARDE,256,M4 T5 W6,03.04.2024 FN,04.06.2024 AN
1711,CE F491,SPECIAL PROJECT,3,1,VIVEK B,,,,
1180,CHE F241,HEAT TRANSFER,3 0 3,1,NISHANT H PANDYA,245,T7 W3 Th8 F5,29.03.2024 FN,29.05.2024 FN
1181,CHE F242,NUM METHOD FOR CHEM ENGG,3 0 3,1,SOUVIK K PAUL,245,M2 W7 Th9 F4,01.04.2024 AN,31.05.2024 FN
1182,CHE F243,MATERIAL SCIENCE & ENGG,3 0 3,1,SWATI ROUTH,245,M8 T5 W8 Th1,03.04.2024 AN,03.06.2024 AN
1183,CHE F244,SEPARATION PROCESSES I,3 0 3,1,B G PRAKASHKUMAR,245,M1 T4 Th2 F3,04.04.2024 AN,05.06.2024 AN
1653,CHE F266,STUDY PROJECT,3,1,B G PRAKASHKUMAR,,,,
1188,CHE F341,CHEMICAL ENGG LAB II,0 3 3,1,MURCHANA CHANGMAI/ B G Prakashkumar/Souvik K Paul,329,T789,,
,,,,1,MURCHANA CHANGMAI/ B G Prakashkumar/Souvik K Paul,331,W345,,
1189,CHE F342,PROCESS DYN & CONTROL,3 0 3,1,R SWARNALATHA,226,M4 W1 Th2 F1,01.04.2024 AN,31.05.2024 FN
1190,CHE F343,PROCESS DES PRINCIPLE II,3 0 3,1,NISHANT H PANDYA,226,M1 W7 Th3 F2,03.04.2024 AN,05.06.2024 AN
1668,CHE F366,LABORATORY PROJECT,3,1,B G PRAKASHKUMAR,,,,
1738,CHE F367,LABORATORY PROJECT,3,1,B G PRAKASHKUMAR,,,,
1687,CHE F376,DESIGN PROJECT,3,1,B G PRAKASHKUMAR,,,,
1754,CHE F377,DESIGN PROJECT,3,1,B G PRAKASHKUMAR,,,,
1201,CHE F414,TRANSPORT PHENOMENA,3 0 3,1,SOUVIK K PAUL,226,M9 T3 Th1,01.04.2024 FN,30.05.2024 FN
1211,CHE F416,PROCESS PLANT DES PRO I,0 0 3,1,NISHANT H PANDYA,226,M6,03.04.2024 FN,04.06.2024 AN
,,Practical,,1,Nishant H Pandya,336,Th56,,
1209,CHE F491,SPECIAL PROJECT,3,1,B G PRAKASHKUMAR,,,,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,1,RUSAL RAJ,306,M34,,
,,,,2,Vijaya Ilango,306,M89,,
,,,,3,Rusal Raj,306,T34,,
,,,,4,Vijaya Ilango,306,W34,,
,,,,5,Rusal Raj,306,W89,,
,,,,6,Vijaya Ilango,306,Th89,,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,1,GEETHA,101,M1 T8 W6 F5,02.04.2024 FN,31.05.2024 FN
,,,,2,Vijaya Ilango,105,M1 T8 W6 F5,,
,,,,3,Rusal Raj,123,M1 T8 W6 F5,,
